EquipmentAssetNo,Status,StartedAt,EndedAt,StopCause,OrderNo,Sequence,Note
EQ-01,Setup,2026-07-07 20:00,2026-07-07 20:24,,,,
EQ-01,Running,2026-07-07 20:24,2026-07-08 00:08,,BLK-SF-0706,10,
EQ-01,Idle,2026-07-08 00:08,2026-07-08 00:45,,,,
EQ-01,Running,2026-07-08 00:45,2026-07-08 04:30,,BLK-SF-0706,10,
EQ-05,Setup,2026-07-07 08:00,2026-07-07 08:47,,,,
EQ-05,Running,2026-07-07 08:47,2026-07-07 11:22,,BLK-SF-0706,10,
EQ-05,Idle,2026-07-07 11:22,2026-07-07 14:30,,,,
EQ-05,Running,2026-07-07 14:30,2026-07-07 15:37,,BLK-SF-0706,10,
EQ-05,Idle,2026-07-07 15:37,2026-07-07 17:00,,,,
EQ-02,Setup,2026-07-07 08:15,2026-07-07 08:29,,,,
EQ-02,Running,2026-07-07 08:29,2026-07-07 11:54,,BLK-FG-0706,10,
EQ-02,Idle,2026-07-07 11:54,2026-07-07 12:59,,,,
EQ-02,Running,2026-07-07 12:59,2026-07-07 16:30,,BLK-FG-0706,10,
EQ-03,Idle,2026-07-07 08:00,2026-07-07 09:52,,,,
EQ-03,Running,2026-07-07 09:52,2026-07-07 12:05,,BLK-FG-0706,20,
EQ-03,Idle,2026-07-07 12:05,2026-07-07 12:50,,,,
EQ-03,Running,2026-07-07 12:50,2026-07-07 15:58,,BLK-FG-0706,20,
EQ-03,Idle,2026-07-07 15:58,2026-07-07 17:00,,,,
EQ-04,Setup,2026-07-07 14:45,2026-07-07 14:59,,,,
EQ-04,Running,2026-07-07 14:59,2026-07-07 17:00,,BLK-FG-0706,30,
EQ-01,Setup,2026-07-08 08:00,2026-07-08 08:31,,,,
EQ-01,Running,2026-07-08 08:31,2026-07-08 12:03,,BLK-SF-0706,10,
EQ-01,Idle,2026-07-08 12:03,2026-07-08 13:04,,,,
EQ-01,Running,2026-07-08 13:04,2026-07-08 14:33,,BLK-SF-0706,10,
EQ-01,Stopped,2026-07-08 14:33,2026-07-08 15:23,材料待ち,,,
EQ-01,Running,2026-07-08 15:23,2026-07-08 16:45,,BLK-SF-0706,10,
EQ-01,Setup,2026-07-08 20:00,2026-07-08 20:14,,,,
EQ-01,Running,2026-07-08 20:14,2026-07-09 00:03,,BLK-SF-0706,10,
EQ-01,Idle,2026-07-09 00:03,2026-07-09 00:42,,,,
EQ-01,Running,2026-07-09 00:42,2026-07-09 04:30,,BLK-SF-0706,10,
EQ-05,Setup,2026-07-08 08:00,2026-07-08 08:40,,,,
EQ-05,Running,2026-07-08 08:40,2026-07-08 11:34,,BLK-SF-0706,10,
EQ-05,Idle,2026-07-08 11:34,2026-07-08 14:35,,,,
EQ-05,Running,2026-07-08 14:35,2026-07-08 15:27,,BLK-SF-0706,10,
EQ-05,Idle,2026-07-08 15:27,2026-07-08 17:00,,,,
EQ-02,Setup,2026-07-08 08:15,2026-07-08 08:32,,,,
EQ-02,Running,2026-07-08 08:32,2026-07-08 12:09,,BLK-FG-0706,10,
EQ-02,Idle,2026-07-08 12:09,2026-07-08 13:03,,,,
EQ-02,Running,2026-07-08 13:03,2026-07-08 16:30,,BLK-FG-0706,10,
EQ-03,Idle,2026-07-08 08:00,2026-07-08 09:54,,,,
EQ-03,Running,2026-07-08 09:54,2026-07-08 12:03,,BLK-FG-0706,20,
EQ-03,Idle,2026-07-08 12:03,2026-07-08 13:01,,,,
EQ-03,Running,2026-07-08 13:01,2026-07-08 16:00,,BLK-FG-0706,20,
EQ-03,Idle,2026-07-08 16:00,2026-07-08 17:00,,,,
EQ-04,Setup,2026-07-08 14:45,2026-07-08 14:53,,,,
EQ-04,Running,2026-07-08 14:53,2026-07-08 17:00,,BLK-FG-0706,30,
EQ-01,Setup,2026-07-09 08:00,2026-07-09 08:34,,,,
EQ-01,Running,2026-07-09 08:34,2026-07-09 11:59,,BLK-SF-0706,10,
EQ-01,Idle,2026-07-09 11:59,2026-07-09 12:56,,,,
EQ-01,Running,2026-07-09 12:56,2026-07-09 16:45,,BLK-SF-0706,10,
EQ-01,Setup,2026-07-09 20:00,2026-07-09 20:23,,,,
EQ-01,Running,2026-07-09 20:23,2026-07-09 23:58,,BLK-SF-0706,10,
EQ-01,Idle,2026-07-09 23:58,2026-07-10 00:41,,,,
EQ-01,Running,2026-07-10 00:41,2026-07-10 04:30,,BLK-SF-0706,10,
EQ-05,Setup,2026-07-09 08:00,2026-07-09 08:47,,,,
EQ-05,Running,2026-07-09 08:47,2026-07-09 11:25,,BLK-SF-0706,10,
EQ-05,Idle,2026-07-09 11:25,2026-07-09 14:31,,,,
EQ-05,Running,2026-07-09 14:31,2026-07-09 15:21,,BLK-SF-0706,10,
EQ-05,Idle,2026-07-09 15:21,2026-07-09 17:00,,,,
EQ-02,Setup,2026-07-09 08:15,2026-07-09 08:21,,,,
EQ-02,Running,2026-07-09 08:21,2026-07-09 12:00,,BLK-FG-0706,10,
EQ-02,Idle,2026-07-09 12:00,2026-07-09 13:01,,,,
EQ-02,Running,2026-07-09 13:01,2026-07-09 16:30,,BLK-FG-0706,10,
EQ-03,Idle,2026-07-09 08:00,2026-07-09 10:00,,,,
EQ-03,Running,2026-07-09 10:00,2026-07-09 11:59,,BLK-FG-0706,20,
EQ-03,Idle,2026-07-09 11:59,2026-07-09 12:53,,,,
EQ-03,Running,2026-07-09 12:53,2026-07-09 15:58,,BLK-FG-0706,20,
EQ-03,Idle,2026-07-09 15:58,2026-07-09 17:00,,,,
EQ-04,Setup,2026-07-09 14:45,2026-07-09 14:52,,,,
EQ-04,Running,2026-07-09 14:52,2026-07-09 17:00,,BLK-FG-0706,30,
EQ-01,Setup,2026-07-10 08:00,2026-07-10 08:30,,,,
EQ-01,Running,2026-07-10 08:30,2026-07-10 12:07,,BLK-SF-0706,10,
EQ-01,Idle,2026-07-10 12:07,2026-07-10 12:52,,,,
EQ-01,Running,2026-07-10 12:52,2026-07-10 16:45,,BLK-SF-0706,10,
EQ-01,Setup,2026-07-10 20:00,2026-07-10 20:19,,,,
EQ-01,Running,2026-07-10 20:19,2026-07-11 00:08,,BLK-SF-0706,10,
EQ-01,Idle,2026-07-11 00:08,2026-07-11 00:48,,,,
EQ-01,Running,2026-07-11 00:48,2026-07-11 04:30,,BLK-SF-0706,10,
EQ-05,Setup,2026-07-10 08:00,2026-07-10 08:45,,,,
EQ-05,Running,2026-07-10 08:45,2026-07-10 11:36,,BLK-SF-0706,10,
EQ-05,Idle,2026-07-10 11:36,2026-07-10 14:26,,,,
EQ-05,Running,2026-07-10 14:26,2026-07-10 15:26,,BLK-SF-0706,10,
EQ-05,Idle,2026-07-10 15:26,2026-07-10 17:00,,,,
EQ-02,Setup,2026-07-10 08:15,2026-07-10 08:33,,,,
EQ-02,Running,2026-07-10 08:33,2026-07-10 12:01,,BLK-FG-0706,10,
EQ-02,Idle,2026-07-10 12:01,2026-07-10 13:03,,,,
EQ-02,Running,2026-07-10 13:03,2026-07-10 16:30,,BLK-FG-0706,10,
EQ-03,Idle,2026-07-10 08:00,2026-07-10 09:59,,,,
EQ-03,Running,2026-07-10 09:59,2026-07-10 12:08,,BLK-FG-0706,20,
EQ-03,Idle,2026-07-10 12:08,2026-07-10 12:56,,,,
EQ-03,Running,2026-07-10 12:56,2026-07-10 16:06,,BLK-FG-0706,20,
EQ-03,Idle,2026-07-10 16:06,2026-07-10 17:00,,,,
EQ-04,Setup,2026-07-10 14:45,2026-07-10 14:50,,,,
EQ-04,Running,2026-07-10 14:50,2026-07-10 17:00,,BLK-FG-0706,30,
EQ-01,Setup,2026-07-13 08:00,2026-07-13 08:33,,,,
EQ-01,Running,2026-07-13 08:33,2026-07-13 11:50,,BLK-SF-0713,10,
EQ-01,Idle,2026-07-13 11:50,2026-07-13 12:54,,,,
EQ-01,Running,2026-07-13 12:54,2026-07-13 16:45,,BLK-SF-0713,10,
EQ-01,Setup,2026-07-13 20:00,2026-07-13 20:25,,,,
EQ-01,Running,2026-07-13 20:25,2026-07-14 00:01,,BLK-SF-0713,10,
EQ-01,Idle,2026-07-14 00:01,2026-07-14 00:43,,,,
EQ-01,Running,2026-07-14 00:43,2026-07-14 04:30,,BLK-SF-0713,10,
EQ-05,Setup,2026-07-13 08:00,2026-07-13 08:43,,,,
EQ-05,Running,2026-07-13 08:43,2026-07-13 11:20,,BLK-SF-0713,10,
EQ-05,Idle,2026-07-13 11:20,2026-07-13 14:36,,,,
EQ-05,Running,2026-07-13 14:36,2026-07-13 15:23,,BLK-SF-0713,10,
EQ-05,Idle,2026-07-13 15:23,2026-07-13 17:00,,,,
EQ-02,Setup,2026-07-13 08:15,2026-07-13 08:37,,,,
EQ-02,Running,2026-07-13 08:37,2026-07-13 11:57,,BLK-FG-0713,10,
EQ-02,Idle,2026-07-13 11:57,2026-07-13 13:04,,,,
EQ-02,Running,2026-07-13 13:04,2026-07-13 16:30,,BLK-FG-0713,10,
EQ-03,Idle,2026-07-13 08:00,2026-07-13 10:03,,,,
EQ-03,Running,2026-07-13 10:03,2026-07-13 12:09,,BLK-FG-0713,20,
EQ-03,Idle,2026-07-13 12:09,2026-07-13 13:06,,,,
EQ-03,Running,2026-07-13 13:06,2026-07-13 16:02,,BLK-FG-0713,20,
EQ-03,Idle,2026-07-13 16:02,2026-07-13 17:00,,,,
EQ-04,Setup,2026-07-13 14:45,2026-07-13 15:07,,,,
EQ-04,Running,2026-07-13 15:07,2026-07-13 17:00,,BLK-FG-0713,30,
EQ-01,Setup,2026-07-14 08:00,2026-07-14 08:36,,,,
EQ-01,Running,2026-07-14 08:36,2026-07-14 11:59,,BLK-SF-0713,10,
EQ-01,Idle,2026-07-14 11:59,2026-07-14 12:54,,,,
EQ-01,Running,2026-07-14 12:54,2026-07-14 16:45,,BLK-SF-0713,10,
EQ-01,Setup,2026-07-14 20:00,2026-07-14 20:17,,,,
EQ-01,Running,2026-07-14 20:17,2026-07-15 00:05,,BLK-SF-0713,10,
EQ-01,Idle,2026-07-15 00:05,2026-07-15 00:47,,,,
EQ-01,Running,2026-07-15 00:47,2026-07-15 04:30,,BLK-SF-0713,10,
EQ-05,Setup,2026-07-14 08:00,2026-07-14 08:41,,,,
EQ-05,Running,2026-07-14 08:41,2026-07-14 11:39,,BLK-SF-0713,10,
EQ-05,Idle,2026-07-14 11:39,2026-07-14 14:38,,,,
EQ-05,Running,2026-07-14 14:38,2026-07-14 15:29,,BLK-SF-0713,10,
EQ-05,Idle,2026-07-14 15:29,2026-07-14 17:00,,,,
EQ-02,Setup,2026-07-14 08:15,2026-07-14 08:38,,,,
EQ-02,Running,2026-07-14 08:38,2026-07-14 11:50,,BLK-FG-0713,10,
EQ-02,Idle,2026-07-14 11:50,2026-07-14 13:05,,,,
EQ-02,Running,2026-07-14 13:05,2026-07-14 16:30,,BLK-FG-0713,10,
EQ-03,Idle,2026-07-14 08:00,2026-07-14 10:10,,,,
EQ-03,Running,2026-07-14 10:10,2026-07-14 12:10,,BLK-FG-0713,20,
EQ-03,Idle,2026-07-14 12:10,2026-07-14 12:54,,,,
EQ-03,Running,2026-07-14 12:54,2026-07-14 16:09,,BLK-FG-0713,20,
EQ-03,Idle,2026-07-14 16:09,2026-07-14 17:00,,,,
EQ-04,Setup,2026-07-14 14:45,2026-07-14 15:07,,,,
EQ-04,Running,2026-07-14 15:07,2026-07-14 17:00,,BLK-FG-0713,30,
EQ-01,Setup,2026-07-15 08:00,2026-07-15 08:38,,,,
EQ-01,Running,2026-07-15 08:38,2026-07-15 11:56,,BLK-SF-0713,10,
EQ-01,Idle,2026-07-15 11:56,2026-07-15 12:56,,,,
EQ-01,Running,2026-07-15 12:56,2026-07-15 16:45,,BLK-SF-0713,10,
EQ-01,Setup,2026-07-15 20:00,2026-07-15 20:22,,,,
EQ-01,Running,2026-07-15 20:22,2026-07-15 23:54,,BLK-SF-0713,10,
EQ-01,Idle,2026-07-15 23:54,2026-07-16 00:43,,,,
EQ-01,Running,2026-07-16 00:43,2026-07-16 04:30,,BLK-SF-0713,10,
EQ-05,Setup,2026-07-15 08:00,2026-07-15 08:49,,,,
EQ-05,Running,2026-07-15 08:49,2026-07-15 11:35,,BLK-SF-0713,10,
EQ-05,Idle,2026-07-15 11:35,2026-07-15 14:34,,,,
EQ-05,Running,2026-07-15 14:34,2026-07-15 15:20,,BLK-SF-0713,10,
EQ-05,Idle,2026-07-15 15:20,2026-07-15 17:00,,,,
EQ-02,Setup,2026-07-15 08:15,2026-07-15 08:20,,,,
EQ-02,Running,2026-07-15 08:20,2026-07-15 11:50,,BLK-FG-0713,10,
EQ-02,Idle,2026-07-15 11:50,2026-07-15 12:57,,,,
EQ-02,Running,2026-07-15 12:57,2026-07-15 16:30,,BLK-FG-0713,10,
EQ-03,Idle,2026-07-15 08:00,2026-07-15 09:56,,,,
EQ-03,Running,2026-07-15 09:56,2026-07-15 12:09,,BLK-FG-0713,20,
EQ-03,Idle,2026-07-15 12:09,2026-07-15 12:53,,,,
EQ-03,Running,2026-07-15 12:53,2026-07-15 16:09,,BLK-FG-0713,20,
EQ-03,Idle,2026-07-15 16:09,2026-07-15 17:00,,,,
EQ-04,Setup,2026-07-15 14:45,2026-07-15 14:53,,,,
EQ-04,Running,2026-07-15 14:53,2026-07-15 17:00,,BLK-FG-0713,30,
EQ-01,Setup,2026-07-16 08:00,2026-07-16 08:28,,,,
EQ-01,Running,2026-07-16 08:28,2026-07-16 12:08,,BLK-SF-0713,10,
EQ-01,Idle,2026-07-16 12:08,2026-07-16 12:57,,,,
EQ-01,Running,2026-07-16 12:57,2026-07-16 16:45,,BLK-SF-0713,10,
EQ-01,Setup,2026-07-16 20:00,2026-07-16 20:30,,,,
EQ-01,Running,2026-07-16 20:30,2026-07-16 23:53,,BLK-SF-0713,10,
EQ-01,Idle,2026-07-16 23:53,2026-07-17 00:48,,,,
EQ-01,Running,2026-07-17 00:48,2026-07-17 04:30,,BLK-SF-0713,10,
EQ-05,Setup,2026-07-16 08:00,2026-07-16 08:38,,,,
EQ-05,Running,2026-07-16 08:38,2026-07-16 11:20,,BLK-SF-0713,10,
EQ-05,Idle,2026-07-16 11:20,2026-07-16 14:22,,,,
EQ-05,Running,2026-07-16 14:22,2026-07-16 15:24,,BLK-SF-0713,10,
EQ-05,Idle,2026-07-16 15:24,2026-07-16 17:00,,,,
EQ-02,Setup,2026-07-16 08:15,2026-07-16 08:33,,,,
EQ-02,Running,2026-07-16 08:33,2026-07-16 11:59,,BLK-FG-0713,10,
EQ-02,Idle,2026-07-16 11:59,2026-07-16 12:50,,,,
EQ-02,Running,2026-07-16 12:50,2026-07-16 16:30,,BLK-FG-0713,10,
EQ-03,Idle,2026-07-16 08:00,2026-07-16 09:50,,,,
EQ-03,Running,2026-07-16 09:50,2026-07-16 11:52,,BLK-FG-0713,20,
EQ-03,Idle,2026-07-16 11:52,2026-07-16 12:54,,,,
EQ-03,Running,2026-07-16 12:54,2026-07-16 16:04,,BLK-FG-0713,20,
EQ-03,Idle,2026-07-16 16:04,2026-07-16 17:00,,,,
EQ-04,Setup,2026-07-16 14:45,2026-07-16 15:08,,,,
