OrderNo,Sequence,GoodQuantity,DefectQuantity,ScrapQuantity,ReworkQuantity,StartedAt,EndedAt,OutputLocationCode,Backflush,Defects
BLK-SF-0720,10,43,1,,,2026-07-23 08:00,2026-07-23 16:30,,false,DR-01=1
BLK-SF-0720,10,32,2,,,2026-07-23 20:00,2026-07-24 04:30,,false,DR-01=2
BLK-FG-0720,10,32,1,,,2026-07-23 08:30,2026-07-23 16:30,,false,DR-05=1
BLK-FG-0720,20,32,0,,,2026-07-23 13:00,2026-07-23 17:00,,false,
BLK-FG-0720,30,32,0,,,2026-07-23 15:00,2026-07-23 17:00,WH-P01,false,
BLK-SF-0720,10,44,1,,,2026-07-24 08:00,2026-07-24 16:30,,false,DR-03=1
BLK-SF-0720,10,38,2,,,2026-07-24 20:00,2026-07-25 04:30,,false,DR-01=1;DR-02=1
BLK-FG-0720,10,34,0,,,2026-07-24 08:30,2026-07-24 16:30,,false,
BLK-FG-0720,20,33,1,,,2026-07-24 13:00,2026-07-24 17:00,,false,DR-02=1
BLK-FG-0720,30,33,0,,,2026-07-24 15:00,2026-07-24 17:00,WH-P01,false,
BLK-SF-0720,20,378,2,,,2026-07-24 10:00,2026-07-24 11:00,WIP-02,false,DR-03=2
BLK-SF-0727,10,39,1,,,2026-07-27 08:00,2026-07-27 16:30,,false,DR-01=1
BLK-SF-0727,10,38,2,,,2026-07-27 20:00,2026-07-28 04:30,,false,DR-01=2
BLK-FG-0727,10,32,1,,,2026-07-27 08:30,2026-07-27 16:30,,false,DR-05=1
BLK-FG-0727,20,31,1,,,2026-07-27 13:00,2026-07-27 17:00,,false,DR-02=1
BLK-FG-0727,30,31,0,,,2026-07-27 15:00,2026-07-27 17:00,WH-P01,false,
BLK-SF-0727,10,44,1,,,2026-07-28 08:00,2026-07-28 16:30,,false,DR-02=1
BLK-SF-0727,10,36,2,,,2026-07-28 20:00,2026-07-29 04:30,,false,DR-01=1;DR-02=1
BLK-FG-0727,10,33,0,,,2026-07-28 08:30,2026-07-28 16:30,,false,
BLK-FG-0727,20,33,0,,,2026-07-28 13:00,2026-07-28 17:00,,false,
BLK-FG-0727,30,33,0,,,2026-07-28 15:00,2026-07-28 17:00,WH-P01,false,
BLK-SF-0727,10,37,2,,,2026-07-29 08:00,2026-07-29 16:30,,false,DR-02=1;DR-03=1
BLK-SF-0727,10,32,1,,,2026-07-29 20:00,2026-07-30 04:30,,false,DR-02=1
BLK-FG-0727,10,31,1,,,2026-07-29 08:30,2026-07-29 16:30,,false,DR-05=1
BLK-FG-0727,20,30,1,,,2026-07-29 13:00,2026-07-29 17:00,,false,DR-02=1
BLK-FG-0727,30,30,0,,,2026-07-29 15:00,2026-07-29 17:00,WH-P01,false,
BLK-SF-0727,10,44,2,,,2026-07-30 08:00,2026-07-30 16:30,,false,DR-01=2
BLK-SF-0727,10,37,2,,,2026-07-30 20:00,2026-07-31 04:30,,false,DR-02=1;DR-03=1
BLK-FG-0727,10,29,0,,,2026-07-30 08:30,2026-07-30 16:30,,false,
BLK-FG-0727,20,28,1,,,2026-07-30 13:00,2026-07-30 17:00,,false,DR-02=1
BLK-FG-0727,30,28,0,,,2026-07-30 15:00,2026-07-30 17:00,WH-P01,false,
BLK-SF-0727,10,39,1,,,2026-07-31 08:00,2026-07-31 16:30,,false,DR-03=1
BLK-SF-0727,10,33,2,,,2026-07-31 20:00,2026-08-01 04:30,,false,DR-02=2
BLK-FG-0727,10,29,1,,,2026-07-31 08:30,2026-07-31 16:30,,false,DR-05=1
BLK-FG-0727,20,29,0,,,2026-07-31 13:00,2026-07-31 17:00,,false,
BLK-FG-0727,30,29,0,,,2026-07-31 15:00,2026-07-31 17:00,WH-P01,false,
BLK-SF-0727,20,377,2,,,2026-07-31 10:00,2026-07-31 11:00,WIP-02,false,DR-03=2
BLK-SF-0803,10,43,1,,,2026-08-03 08:00,2026-08-03 16:30,,false,DR-02=1
BLK-SF-0803,10,37,2,,,2026-08-03 20:00,2026-08-04 04:30,,false,DR-01=1;DR-03=1
BLK-FG-0803,10,30,1,,,2026-08-03 08:30,2026-08-03 16:30,,false,DR-05=1
BLK-FG-0803,20,30,0,,,2026-08-03 13:00,2026-08-03 17:00,,false,
BLK-FG-0803,30,30,0,,,2026-08-03 15:00,2026-08-03 17:00,WH-P01,false,
BLK-SF-0803,10,41,1,,,2026-08-04 08:00,2026-08-04 16:30,,false,DR-03=1
BLK-SF-0803,10,32,1,,,2026-08-04 20:00,2026-08-05 04:30,,false,DR-01=1
BLK-FG-0803,10,27,1,,,2026-08-04 08:30,2026-08-04 16:30,,false,DR-05=1
BLK-FG-0803,20,27,0,,,2026-08-04 13:00,2026-08-04 17:00,,false,
BLK-FG-0803,30,27,0,,,2026-08-04 15:00,2026-08-04 17:00,WH-P01,false,
BLK-SF-0803,10,42,1,,,2026-08-05 08:00,2026-08-05 16:30,,false,DR-01=1
BLK-SF-0803,10,34,1,,,2026-08-05 20:00,2026-08-06 04:30,,false,DR-03=1
BLK-FG-0803,10,32,1,,,2026-08-05 08:30,2026-08-05 16:30,,false,DR-05=1
BLK-FG-0803,20,31,1,,,2026-08-05 13:00,2026-08-05 17:00,,false,DR-02=1
BLK-FG-0803,30,31,0,,,2026-08-05 15:00,2026-08-05 17:00,WH-P01,false,
BLK-SF-0803,10,38,1,,,2026-08-06 08:00,2026-08-06 16:30,,false,DR-01=1
BLK-SF-0803,10,32,2,,,2026-08-06 20:00,2026-08-07 04:30,,false,DR-02=1;DR-03=1
BLK-FG-0803,10,33,1,,,2026-08-06 08:30,2026-08-06 16:30,,false,DR-05=1
BLK-FG-0803,20,33,0,,,2026-08-06 13:00,2026-08-06 17:00,,false,
BLK-FG-0803,30,33,0,,,2026-08-06 15:00,2026-08-06 17:00,WH-P01,false,
BLK-SF-0803,10,42,1,,,2026-08-07 08:00,2026-08-07 16:30,,false,DR-02=1
BLK-SF-0803,10,35,2,,,2026-08-07 20:00,2026-08-08 04:30,,false,DR-01=2
BLK-FG-0803,10,31,1,,,2026-08-07 08:30,2026-08-07 16:30,,false,DR-05=1
BLK-FG-0803,20,31,0,,,2026-08-07 13:00,2026-08-07 17:00,,false,
BLK-FG-0803,30,31,0,,,2026-08-07 15:00,2026-08-07 17:00,WH-P01,false,
BLK-SF-0803,20,374,2,,,2026-08-07 10:00,2026-08-07 11:00,WIP-02,false,DR-03=2
BLK-SF-0817,10,40,1,,,2026-08-17 08:00,2026-08-17 16:30,,false,DR-02=1
BLK-SF-0817,10,33,1,,,2026-08-17 20:00,2026-08-18 04:30,,false,DR-01=1
BLK-FG-0817,10,27,1,,,2026-08-17 08:30,2026-08-17 16:30,,false,DR-05=1
BLK-FG-0817,20,27,0,,,2026-08-17 13:00,2026-08-17 17:00,,false,
BLK-FG-0817,30,27,0,,,2026-08-17 15:00,2026-08-17 17:00,WH-P01,false,
BLK-SF-0817,10,45,1,,,2026-08-18 08:00,2026-08-18 16:30,,false,DR-02=1
BLK-SF-0817,10,35,1,,,2026-08-18 20:00,2026-08-19 04:30,,false,DR-01=1
BLK-FG-0817,10,33,1,,,2026-08-18 08:30,2026-08-18 16:30,,false,DR-05=1
BLK-FG-0817,20,33,0,,,2026-08-18 13:00,2026-08-18 17:00,,false,
BLK-FG-0817,30,33,0,,,2026-08-18 15:00,2026-08-18 17:00,WH-P01,false,
BLK-SF-0817,10,43,1,,,2026-08-19 08:00,2026-08-19 16:30,,false,DR-03=1
BLK-SF-0817,10,35,1,,,2026-08-19 20:00,2026-08-20 04:30,,false,DR-02=1
BLK-FG-0817,10,30,0,,,2026-08-19 08:30,2026-08-19 16:30,,false,
BLK-FG-0817,20,30,0,,,2026-08-19 13:00,2026-08-19 17:00,,false,
BLK-FG-0817,30,30,0,,,2026-08-19 15:00,2026-08-19 17:00,WH-P01,false,
BLK-SF-0817,10,42,1,,,2026-08-20 08:00,2026-08-20 16:30,,false,DR-02=1
BLK-SF-0817,10,32,1,,,2026-08-20 20:00,2026-08-21 04:30,,false,DR-03=1
BLK-FG-0817,10,32,1,,,2026-08-20 08:30,2026-08-20 16:30,,false,DR-05=1
BLK-FG-0817,20,32,0,,,2026-08-20 13:00,2026-08-20 17:00,,false,
BLK-FG-0817,30,32,0,,,2026-08-20 15:00,2026-08-20 17:00,WH-P01,false,
BLK-SF-0817,10,40,1,,,2026-08-21 08:00,2026-08-21 16:30,,false,DR-02=1
BLK-SF-0817,10,37,1,,,2026-08-21 20:00,2026-08-22 04:30,,false,DR-03=1
BLK-FG-0817,10,30,0,,,2026-08-21 08:30,2026-08-21 16:30,,false,
BLK-FG-0817,20,30,0,,,2026-08-21 13:00,2026-08-21 17:00,,false,
BLK-FG-0817,30,30,0,,,2026-08-21 15:00,2026-08-21 17:00,WH-P01,false,
BLK-SF-0817,20,380,2,,,2026-08-21 10:00,2026-08-21 11:00,WIP-02,false,DR-03=2
BLK-SF-0824,10,42,3,,,2026-08-24 08:00,2026-08-24 16:30,,false,DR-04=3
BLK-SF-0824,10,34,4,,,2026-08-24 20:00,2026-08-25 04:30,,false,DR-02=1;DR-03=1;DR-04=2
BLK-FG-0824,10,33,0,,,2026-08-24 08:30,2026-08-24 16:30,,false,
BLK-FG-0824,20,33,0,,,2026-08-24 13:00,2026-08-24 17:00,,false,
BLK-FG-0824,30,33,0,,,2026-08-24 15:00,2026-08-24 17:00,WH-P01,false,
BLK-SF-0824,10,38,3,,,2026-08-25 08:00,2026-08-25 16:30,,false,DR-04=3
BLK-SF-0824,10,35,4,,,2026-08-25 20:00,2026-08-26 04:30,,false,DR-01=1;DR-02=1;DR-04=2
BLK-FG-0824,10,32,1,,,2026-08-25 08:30,2026-08-25 16:30,,false,DR-05=1
BLK-FG-0824,20,32,0,,,2026-08-25 13:00,2026-08-25 17:00,,false,
BLK-FG-0824,30,32,0,,,2026-08-25 15:00,2026-08-25 17:00,WH-P01,false,
BLK-SF-0824,10,39,3,,,2026-08-26 08:00,2026-08-26 16:30,,false,DR-01=2;DR-02=1
BLK-SF-0824,10,29,4,,,2026-08-26 20:00,2026-08-27 04:30,,false,DR-02=1;DR-03=2;DR-04=1
BLK-FG-0824,10,27,1,,,2026-08-26 08:30,2026-08-26 16:30,,false,DR-05=1
BLK-FG-0824,20,26,1,,,2026-08-26 13:00,2026-08-26 17:00,,false,DR-02=1
BLK-FG-0824,30,26,0,,,2026-08-26 15:00,2026-08-26 17:00,WH-P01,false,
BLK-SF-0824,10,38,3,,,2026-08-27 08:00,2026-08-27 16:30,,false,DR-01=1;DR-04=2
BLK-SF-0824,10,28,4,,,2026-08-27 20:00,2026-08-28 04:30,,false,DR-01=1;DR-03=2;DR-04=1
BLK-FG-0824,10,34,0,,,2026-08-27 08:30,2026-08-27 16:30,,false,
BLK-FG-0824,20,33,1,,,2026-08-27 13:00,2026-08-27 17:00,,false,DR-02=1
BLK-FG-0824,30,33,0,,,2026-08-27 15:00,2026-08-27 17:00,WH-P01,false,
BLK-SF-0824,10,41,4,,,2026-08-28 08:00,2026-08-28 16:30,,false,DR-01=1;DR-02=1;DR-04=2
BLK-SF-0824,10,34,4,,,2026-08-28 20:00,2026-08-29 04:30,,false,DR-01=1;DR-02=1;DR-04=2
BLK-FG-0824,10,32,1,,,2026-08-28 08:30,2026-08-28 16:30,,false,DR-05=1
BLK-FG-0824,20,32,0,,,2026-08-28 13:00,2026-08-28 17:00,,false,
BLK-FG-0824,30,32,0,,,2026-08-28 15:00,2026-08-28 17:00,WH-P01,false,
BLK-SF-0824,20,356,2,,,2026-08-28 10:00,2026-08-28 11:00,WIP-02,false,DR-03=2
BLK-SF-0831,10,40,1,,,2026-08-31 08:00,2026-08-31 16:30,,false,DR-01=1
BLK-SF-0831,10,33,1,,,2026-08-31 20:00,2026-09-01 04:30,,false,DR-03=1
BLK-FG-0831,10,30,0,,,2026-08-31 08:30,2026-08-31 16:30,,false,
BLK-FG-0831,20,30,0,,,2026-08-31 13:00,2026-08-31 17:00,,false,
BLK-FG-0831,30,30,0,,,2026-08-31 15:00,2026-08-31 17:00,WH-P01,false,
BLK-SF-0831,10,46,0,,,2026-09-01 08:00,2026-09-01 16:30,,false,
BLK-SF-0831,10,35,1,,,2026-09-01 20:00,2026-09-02 04:30,,false,DR-01=1
BLK-FG-0831,10,32,0,,,2026-09-01 08:30,2026-09-01 16:30,,false,
BLK-FG-0831,20,32,0,,,2026-09-01 13:00,2026-09-01 17:00,,false,
BLK-FG-0831,30,32,0,,,2026-09-01 15:00,2026-09-01 17:00,WH-P01,false,
BLK-SF-0831,10,40,1,,,2026-09-02 08:00,2026-09-02 16:30,,false,DR-02=1
BLK-SF-0831,10,39,1,,,2026-09-02 20:00,2026-09-03 04:30,,false,DR-02=1
BLK-FG-0831,10,29,0,,,2026-09-02 08:30,2026-09-02 16:30,,false,
BLK-FG-0831,20,29,0,,,2026-09-02 13:00,2026-09-02 17:00,,false,
BLK-FG-0831,30,29,0,,,2026-09-02 15:00,2026-09-02 17:00,WH-P01,false,
BLK-SF-0831,10,42,0,,,2026-09-03 08:00,2026-09-03 16:30,,false,
BLK-SF-0831,10,32,1,,,2026-09-03 20:00,2026-09-04 04:30,,false,DR-01=1
BLK-FG-0831,10,33,1,,,2026-09-03 08:30,2026-09-03 16:30,,false,DR-05=1
BLK-FG-0831,20,32,1,,,2026-09-03 13:00,2026-09-03 17:00,,false,DR-02=1
BLK-FG-0831,30,32,0,,,2026-09-03 15:00,2026-09-03 17:00,WH-P01,false,
BLK-SF-0831,10,39,1,,,2026-09-04 08:00,2026-09-04 16:30,,false,DR-01=1
BLK-SF-0831,10,39,1,,,2026-09-04 20:00,2026-09-05 04:30,,false,DR-01=1
BLK-FG-0831,10,27,1,,,2026-09-04 08:30,2026-09-04 16:30,,false,DR-05=1
BLK-FG-0831,20,26,1,,,2026-09-04 13:00,2026-09-04 17:00,,false,DR-02=1
BLK-FG-0831,30,26,0,,,2026-09-04 15:00,2026-09-04 17:00,WH-P01,false,
BLK-SF-0831,20,383,2,,,2026-09-04 10:00,2026-09-04 11:00,WIP-02,false,DR-03=2
BLK-SF-0907,10,44,1,,,2026-09-07 08:00,2026-09-07 16:30,,false,DR-03=1
BLK-SF-0907,10,33,1,,,2026-09-07 20:00,2026-09-08 04:30,,false,DR-01=1
BLK-FG-0907,10,34,0,,,2026-09-07 08:30,2026-09-07 16:30,,false,
BLK-FG-0907,20,33,1,,,2026-09-07 13:00,2026-09-07 17:00,,false,DR-02=1
BLK-FG-0907,30,33,0,,,2026-09-07 15:00,2026-09-07 17:00,WH-P01,false,
BLK-SF-0907,10,39,1,,,2026-09-08 08:00,2026-09-08 16:30,,false,DR-01=1
BLK-SF-0907,10,38,1,,,2026-09-08 20:00,2026-09-09 04:30,,false,DR-02=1
BLK-FG-0907,10,31,1,,,2026-09-08 08:30,2026-09-08 16:30,,false,DR-05=1
BLK-FG-0907,20,31,0,,,2026-09-08 13:00,2026-09-08 17:00,,false,
BLK-FG-0907,30,31,0,,,2026-09-08 15:00,2026-09-08 17:00,WH-P01,false,
BLK-SF-0907,10,39,1,,,2026-09-09 08:00,2026-09-09 16:30,,false,DR-01=1
BLK-SF-0907,10,33,1,,,2026-09-09 20:00,2026-09-10 04:30,,false,DR-02=1
BLK-FG-0907,10,28,0,,,2026-09-09 08:30,2026-09-09 16:30,,false,
BLK-FG-0907,20,27,1,,,2026-09-09 13:00,2026-09-09 17:00,,false,DR-02=1
BLK-FG-0907,30,27,0,,,2026-09-09 15:00,2026-09-09 17:00,WH-P01,false,
BLK-SF-0907,10,43,0,,,2026-09-10 08:00,2026-09-10 16:30,,false,
BLK-SF-0907,10,31,1,,,2026-09-10 20:00,2026-09-11 04:30,,false,DR-03=1
BLK-FG-0907,10,28,0,,,2026-09-10 08:30,2026-09-10 16:30,,false,
BLK-FG-0907,20,28,0,,,2026-09-10 13:00,2026-09-10 17:00,,false,
BLK-FG-0907,30,28,0,,,2026-09-10 15:00,2026-09-10 17:00,WH-P01,false,
BLK-SF-0907,10,39,1,,,2026-09-11 08:00,2026-09-11 16:30,,false,DR-03=1
BLK-SF-0907,10,33,1,,,2026-09-11 20:00,2026-09-12 04:30,,false,DR-01=1
BLK-FG-0907,10,29,1,,,2026-09-11 08:30,2026-09-11 16:30,,false,DR-05=1
BLK-FG-0907,20,29,0,,,2026-09-11 13:00,2026-09-11 17:00,,false,
BLK-FG-0907,30,29,0,,,2026-09-11 15:00,2026-09-11 17:00,WH-P01,false,
BLK-SF-0907,20,370,2,,,2026-09-11 10:00,2026-09-11 11:00,WIP-02,false,DR-03=2
BLK-SF-0914,10,42,0,,,2026-09-14 08:00,2026-09-14 16:30,,false,
BLK-SF-0914,10,31,1,,,2026-09-14 20:00,2026-09-15 04:30,,false,DR-01=1
BLK-FG-0914,10,28,0,,,2026-09-14 08:30,2026-09-14 16:30,,false,
BLK-FG-0914,20,28,0,,,2026-09-14 13:00,2026-09-14 17:00,,false,
BLK-FG-0914,30,28,0,,,2026-09-14 15:00,2026-09-14 17:00,WH-P01,false,
BLK-SF-0914,10,37,1,,,2026-09-15 08:00,2026-09-15 16:30,,false,DR-02=1
BLK-SF-0914,10,32,1,,,2026-09-15 20:00,2026-09-16 04:30,,false,DR-01=1
BLK-FG-0914,10,31,0,,,2026-09-15 08:30,2026-09-15 16:30,,false,
BLK-FG-0914,20,31,0,,,2026-09-15 13:00,2026-09-15 17:00,,false,
BLK-FG-0914,30,31,0,,,2026-09-15 15:00,2026-09-15 17:00,WH-P01,false,
BLK-SF-0914,10,45,1,,,2026-09-16 08:00,2026-09-16 16:30,,false,DR-03=1
BLK-SF-0914,10,32,1,,,2026-09-16 20:00,2026-09-17 04:30,,false,DR-01=1
BLK-FG-0914,10,32,0,,,2026-09-16 08:30,2026-09-16 16:30,,false,
BLK-FG-0914,20,31,1,,,2026-09-16 13:00,2026-09-16 17:00,,false,DR-02=1
BLK-FG-0914,30,31,0,,,2026-09-16 15:00,2026-09-16 17:00,WH-P01,false,
BLK-SF-0914,10,40,1,,,2026-09-17 08:00,2026-09-17 16:30,,false,DR-03=1
BLK-SF-0914,10,33,1,,,2026-09-17 20:00,2026-09-18 04:30,,false,DR-03=1
