BusinessDate,ProductCode,ProcessCode,WorkCenterCode,PlannedQuantity,Note
2026-07-31,SF-2000,PR-10,WC-MC1,76,
2026-07-31,FG-1000,PR-30,WC-AS1,30,
2026-07-31,FG-1000,PR-40,WC-QC1,30,
2026-07-31,FG-1000,PR-50,WC-PK1,30,
2026-07-31,SF-2000,PR-20,,380,外注戻り（週まとめ）
2026-08-03,SF-2000,PR-10,WC-MC1,76,
2026-08-03,FG-1000,PR-30,WC-AS1,30,
2026-08-03,FG-1000,PR-40,WC-QC1,30,
2026-08-03,FG-1000,PR-50,WC-PK1,30,
2026-08-04,SF-2000,PR-10,WC-MC1,76,
2026-08-04,FG-1000,PR-30,WC-AS1,30,
2026-08-04,FG-1000,PR-40,WC-QC1,30,
2026-08-04,FG-1000,PR-50,WC-PK1,30,
2026-08-05,SF-2000,PR-10,WC-MC1,76,
2026-08-05,FG-1000,PR-30,WC-AS1,30,
2026-08-05,FG-1000,PR-40,WC-QC1,30,
2026-08-05,FG-1000,PR-50,WC-PK1,30,
2026-08-06,SF-2000,PR-10,WC-MC1,76,
2026-08-06,FG-1000,PR-30,WC-AS1,30,
2026-08-06,FG-1000,PR-40,WC-QC1,30,
2026-08-06,FG-1000,PR-50,WC-PK1,30,
2026-08-07,SF-2000,PR-10,WC-MC1,76,
2026-08-07,FG-1000,PR-30,WC-AS1,30,
2026-08-07,FG-1000,PR-40,WC-QC1,30,
2026-08-07,FG-1000,PR-50,WC-PK1,30,
2026-08-07,SF-2000,PR-20,,380,外注戻り（週まとめ）
2026-08-10,SF-2000,PR-10,WC-MC1,0,お盆休み
2026-08-10,FG-1000,PR-30,WC-AS1,0,お盆休み
2026-08-10,FG-1000,PR-40,WC-QC1,0,お盆休み
2026-08-10,FG-1000,PR-50,WC-PK1,0,お盆休み
2026-08-11,SF-2000,PR-10,WC-MC1,0,お盆休み
2026-08-11,FG-1000,PR-30,WC-AS1,0,お盆休み
2026-08-11,FG-1000,PR-40,WC-QC1,0,お盆休み
2026-08-11,FG-1000,PR-50,WC-PK1,0,お盆休み
2026-08-12,SF-2000,PR-10,WC-MC1,0,お盆休み
2026-08-12,FG-1000,PR-30,WC-AS1,0,お盆休み
2026-08-12,FG-1000,PR-40,WC-QC1,0,お盆休み
2026-08-12,FG-1000,PR-50,WC-PK1,0,お盆休み
2026-08-13,SF-2000,PR-10,WC-MC1,0,お盆休み
2026-08-13,FG-1000,PR-30,WC-AS1,0,お盆休み
2026-08-13,FG-1000,PR-40,WC-QC1,0,お盆休み
2026-08-13,FG-1000,PR-50,WC-PK1,0,お盆休み
2026-08-14,SF-2000,PR-10,WC-MC1,0,お盆休み
2026-08-14,FG-1000,PR-30,WC-AS1,0,お盆休み
2026-08-14,FG-1000,PR-40,WC-QC1,0,お盆休み
2026-08-14,FG-1000,PR-50,WC-PK1,0,お盆休み
2026-08-17,SF-2000,PR-10,WC-MC1,76,
2026-08-17,FG-1000,PR-30,WC-AS1,30,
2026-08-17,FG-1000,PR-40,WC-QC1,30,
2026-08-17,FG-1000,PR-50,WC-PK1,30,
2026-08-18,SF-2000,PR-10,WC-MC1,76,
2026-08-18,FG-1000,PR-30,WC-AS1,30,
2026-08-18,FG-1000,PR-40,WC-QC1,30,
2026-08-18,FG-1000,PR-50,WC-PK1,30,
2026-08-19,SF-2000,PR-10,WC-MC1,76,
2026-08-19,FG-1000,PR-30,WC-AS1,30,
2026-08-19,FG-1000,PR-40,WC-QC1,30,
2026-08-19,FG-1000,PR-50,WC-PK1,30,
2026-08-20,SF-2000,PR-10,WC-MC1,76,
2026-08-20,FG-1000,PR-30,WC-AS1,30,
2026-08-20,FG-1000,PR-40,WC-QC1,30,
2026-08-20,FG-1000,PR-50,WC-PK1,30,
2026-08-21,SF-2000,PR-10,WC-MC1,76,
2026-08-21,FG-1000,PR-30,WC-AS1,30,
2026-08-21,FG-1000,PR-40,WC-QC1,30,
2026-08-21,FG-1000,PR-50,WC-PK1,30,
2026-08-21,SF-2000,PR-20,,380,外注戻り（週まとめ）
2026-08-24,SF-2000,PR-10,WC-MC1,76,
2026-08-24,FG-1000,PR-30,WC-AS1,30,
2026-08-24,FG-1000,PR-40,WC-QC1,30,
2026-08-24,FG-1000,PR-50,WC-PK1,30,
2026-08-25,SF-2000,PR-10,WC-MC1,76,
2026-08-25,FG-1000,PR-30,WC-AS1,30,
2026-08-25,FG-1000,PR-40,WC-QC1,30,
2026-08-25,FG-1000,PR-50,WC-PK1,30,
2026-08-26,SF-2000,PR-10,WC-MC1,76,
2026-08-26,FG-1000,PR-30,WC-AS1,30,
2026-08-26,FG-1000,PR-40,WC-QC1,30,
2026-08-26,FG-1000,PR-50,WC-PK1,30,
2026-08-27,SF-2000,PR-10,WC-MC1,76,
2026-08-27,FG-1000,PR-30,WC-AS1,30,
2026-08-27,FG-1000,PR-40,WC-QC1,30,
2026-08-27,FG-1000,PR-50,WC-PK1,30,
2026-08-28,SF-2000,PR-10,WC-MC1,76,
2026-08-28,FG-1000,PR-30,WC-AS1,30,
2026-08-28,FG-1000,PR-40,WC-QC1,30,
2026-08-28,FG-1000,PR-50,WC-PK1,30,
2026-08-28,SF-2000,PR-20,,380,外注戻り（週まとめ）
2026-08-31,SF-2000,PR-10,WC-MC1,76,
2026-08-31,FG-1000,PR-30,WC-AS1,30,
2026-08-31,FG-1000,PR-40,WC-QC1,30,
2026-08-31,FG-1000,PR-50,WC-PK1,30,
2026-09-01,SF-2000,PR-10,WC-MC1,76,
2026-09-01,FG-1000,PR-30,WC-AS1,30,
2026-09-01,FG-1000,PR-40,WC-QC1,30,
2026-09-01,FG-1000,PR-50,WC-PK1,30,
2026-09-02,SF-2000,PR-10,WC-MC1,76,
2026-09-02,FG-1000,PR-30,WC-AS1,30,
2026-09-02,FG-1000,PR-40,WC-QC1,30,
2026-09-02,FG-1000,PR-50,WC-PK1,30,
2026-09-03,SF-2000,PR-10,WC-MC1,76,
2026-09-03,FG-1000,PR-30,WC-AS1,30,
2026-09-03,FG-1000,PR-40,WC-QC1,30,
2026-09-03,FG-1000,PR-50,WC-PK1,30,
2026-09-04,SF-2000,PR-10,WC-MC1,76,
2026-09-04,FG-1000,PR-30,WC-AS1,30,
2026-09-04,FG-1000,PR-40,WC-QC1,30,
2026-09-04,FG-1000,PR-50,WC-PK1,30,
2026-09-04,SF-2000,PR-20,,380,外注戻り（週まとめ）
2026-09-07,SF-2000,PR-10,WC-MC1,76,
2026-09-07,FG-1000,PR-30,WC-AS1,30,
2026-09-07,FG-1000,PR-40,WC-QC1,30,
2026-09-07,FG-1000,PR-50,WC-PK1,30,
2026-09-08,SF-2000,PR-10,WC-MC1,76,
2026-09-08,FG-1000,PR-30,WC-AS1,30,
2026-09-08,FG-1000,PR-40,WC-QC1,30,
2026-09-08,FG-1000,PR-50,WC-PK1,30,
2026-09-09,SF-2000,PR-10,WC-MC1,76,
2026-09-09,FG-1000,PR-30,WC-AS1,30,
2026-09-09,FG-1000,PR-40,WC-QC1,30,
2026-09-09,FG-1000,PR-50,WC-PK1,30,
2026-09-10,SF-2000,PR-10,WC-MC1,76,
2026-09-10,FG-1000,PR-30,WC-AS1,30,
2026-09-10,FG-1000,PR-40,WC-QC1,30,
2026-09-10,FG-1000,PR-50,WC-PK1,30,
2026-09-11,SF-2000,PR-10,WC-MC1,76,
2026-09-11,FG-1000,PR-30,WC-AS1,30,
2026-09-11,FG-1000,PR-40,WC-QC1,30,
2026-09-11,FG-1000,PR-50,WC-PK1,30,
2026-09-11,SF-2000,PR-20,,380,外注戻り（週まとめ）
2026-09-14,SF-2000,PR-10,WC-MC1,76,
2026-09-14,FG-1000,PR-30,WC-AS1,30,
2026-09-14,FG-1000,PR-40,WC-QC1,30,
2026-09-14,FG-1000,PR-50,WC-PK1,30,
2026-09-15,SF-2000,PR-10,WC-MC1,76,
2026-09-15,FG-1000,PR-30,WC-AS1,30,
2026-09-15,FG-1000,PR-40,WC-QC1,30,
2026-09-15,FG-1000,PR-50,WC-PK1,30,
2026-09-16,SF-2000,PR-10,WC-MC1,76,
2026-09-16,FG-1000,PR-30,WC-AS1,30,
2026-09-16,FG-1000,PR-40,WC-QC1,30,
2026-09-16,FG-1000,PR-50,WC-PK1,30,
2026-09-17,SF-2000,PR-10,WC-MC1,76,
2026-09-17,FG-1000,PR-30,WC-AS1,30,
2026-09-17,FG-1000,PR-40,WC-QC1,30,
2026-09-17,FG-1000,PR-50,WC-PK1,30,
2026-09-18,SF-2000,PR-10,WC-MC1,76,
2026-09-18,FG-1000,PR-30,WC-AS1,30,
2026-09-18,FG-1000,PR-40,WC-QC1,30,
2026-09-18,FG-1000,PR-50,WC-PK1,30,
2026-09-18,SF-2000,PR-20,,380,外注戻り（週まとめ）
